Area Code (FAO),Year,Value
18,1982,-0.139
18,1983,-0.291
18,1984,-0.052
18,1985,0.204
18,1986,0.008
18,1987,0.298
18,1988,0.608
18,1989,0.307
18,1990,-0.004
18,1991,0.216
18,1992,-0.216
18,1993,-0.256
18,1994,0.257
18,1995,0.431
18,1996,0.204
18,1997,-0.358
18,1998,0.758
18,1999,0.954
18,2000,0.126
18,2001,0.655
18,2002,0.458
18,2003,0.502
18,2004,0.478
18,2005,0.759
18,2006,0.993
18,2007,0.987
18,2008,0.588
18,2009,1.424
18,2010,1.196
18,2011,0.52
18,2012,0.381
18,2013,0.691
18,2014,0.758
18,2015,0.986
18,2016,1.455
18,2017,1.443
18,2018,1.389
18,2019,1.282
18,2020,1.104
19,1961,0.225
19,1962,0.023
19,1963,0.382
19,1964,-0.118
19,1965,0.258
19,1966,-0.05
19,1967,0.385
19,1968,-0.13
19,1969,0.497
19,1970,0.236
19,1971,-0.53
19,1972,0.14
19,1973,0.233
19,1974,-0.092
19,1975,-0.041
19,1976,-0.15
19,1977,0.368
19,1978,0.426
19,1979,0.237
19,1980,0.327
19,1981,0.246
19,1982,0.378
19,1983,0.516
19,1984,0.375
19,1985,0.451
19,1986,0.557
19,1987,0.817
19,1988,0.459
19,1989,0.274
19,1990,0.32
19,1991,0.742
19,1992,0.195
19,1993,0.519
19,1994,1.02
19,1995,0.856
19,1996,0.427
19,1997,1.018
19,1998,1.014
19,1999,0.461
19,2000,0.504
19,2001,0.822
19,2002,1.125
19,2003,0.901
19,2004,1.091
19,2005,1.052
19,2006,1.18
19,2007,0.787
19,2008,0.663
19,2009,0.991
19,2010,0.986
19,2011,1.46
19,2012,1.152
19,2013,0.919
19,2014,1.321
19,2015,1.772
19,2016,1.015
19,2017,1.251
19,2018,0.816
19,2019,1.248
19,2020,1.667
80,1992,0.679
80,1993,0.274
80,1994,1.709
80,1995,0.304
80,1996,-0.022
80,1997,0.129
80,1998,1.078
80,1999,0.627
80,2000,1.537
80,2001,1.549
80,2002,1.163
80,2003,1.11
80,2004,0.607
80,2005,0.152
80,2006,0.633
80,2007,1.917
80,2008,1.427
80,2009,1.436
80,2010,1.011
80,2011,1.169
80,2012,1.809
80,2013,1.371
80,2014,1.902
80,2015,1.89
80,2016,1.749
80,2017,1.498
80,2018,2.356
80,2019,2.119
80,2020,1.996
20,1961,0.124
20,1962,0.218
20,1963,-0.466
20,1964,-0.068
20,1965,0.08
20,1966,0.428
20,1967,-0.451
20,1968,-0.179
20,1969,0.214
20,1970,0.603
20,1971,-0.121
20,1972,-0.466
20,1973,0.608
20,1974,-0.738
20,1975,-0.232
20,1976,-0.714
20,1977,0.292
20,1978,-0.056
20,1979,0.544
20,1980,-0.013
20,1981,-0.414
20,1982,0.368
20,1983,1.04
20,1984,0.502
20,1985,0.359
20,1986,0.314
20,1987,1.273
20,1988,0.291
20,1989,-0.234
20,1990,0.84
20,1991,0.167
20,1992,0.951
20,1993,0.704
20,1994,-0.011
20,1995,1.286
20,1996,-0.175
20,1997,0.077
20,1998,1.036
20,1999,0.736
20,2000,-0.562
20,2001,-0.055
20,2002,0.532
20,2003,1.105
20,2004,0.277
20,2005,1.496
20,2006,-0.239
20,2007,0.402
20,2008,0.337
20,2009,-0.118
20,2010,1.164
20,2011,0.218
20,2012,0.816
20,2013,0.923
20,2014,0.328
20,2015,2.024
20,2016,1.821
20,2017,0.328
20,2018,1.004
20,2019,1.833
20,2020,0.82
21,1961,0.17
21,1962,-0.191
21,1963,0.169
